Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
AUTO CAR SERVICOS DE LOCACAO E TURISMO LTDA;AUTO CAR TURISMO;02.212.119/0001-53;MICROEMPRESA;05/11/1997;Em Operação;Locadora de Veículos para Turistas;58400-258;PB;Campina Grande;Centro;Doutor Severino Ribeiro Cruz,625;TERREO;(83)3321-3521;locadora@autocarturismo.com.br;locadora@autocarturismo.com.br;www.autocarturismo.com.br;30/03/2020 11:37:42;30/03/2022 11:37:42;02.212.119/0001-53;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
DB VAN LOCADORA DE AUTOMOVEIS E TRANSPORTES DE CARGAS EIRELI;DB VAN LOCADORA DE AUTOMOVEIS LTDA - ME;02.229.070/0001-41;MICROEMPRESA;14/11/1997;Em Operação;Locadora de Veículos para Turistas;13525-000;SP;Águas de São Pedro; - ;Rua Girassóis, 29;Jd Porangaba;(19)3482-4757;contato@dbvanlocadora.com;contato@dbvanlocadora.com; - ;28/06/2018 11:45:48;28/06/2020 11:45:48;02.229.070/0001-41;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
HUGO PIRES TORRES JERONIMO LEITE;EUROCAR;02.267.143/0001-90;MICROEMPRESA;04/12/1997;Em Operação;Locadora de Veículos para Turistas;58043-090;PB;Bayeux;Miramar;Tito Silva; - ;(83)3247-5444;hugopirestjl@yahoo.com.br;hugopirestjl@yahoo.com.br; - ;26/12/2019 13:32:10;26/12/2021 13:32:10;02.267.143/0001-90;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Francês|Inglês;0;2020T01
H B UCHOA;H B U RENT CAR;02.387.111/0001-28;MICROEMPRESA;09/02/1998;Em Operação;Locadora de Veículos para Turistas;68447-000;PA;Barcarena; - ;Rua Bento de Oliveira;Quadra 274 Lote 10;3754-2782;hbuchoa@live.com;hbuchoa@live.com; - ;09/08/2018 10:52:16;09/08/2020 10:52:16;02.387.111/0001-28;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
LOCADORA ACESSO LTDA;LOCADORA ACESSO;02.412.056/0001-89;MICROEMPRESA;10/03/1998;Em Operação;Locadora de Veículos para Turistas;59090-700;RN;Natal;Ponta Negra;Manoel Soares de Medeiros; - ;(84)3219-0882;acessolocadora@gmail.com;acessolocadora@gmail.com; - ;23/07/2018 10:52:46;23/07/2020 10:52:46;02.412.056/0001-89;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
LOCARVAN LOCADORA DE VEICULOS EIRELI;EXITO DAS AGUIAS;02.441.265/0001-50;MICROEMPRESA;16/03/1998;Em Operação;Locadora de Veículos para Turistas;35164-098;MG;Ipatinga;Bethânia;Porto;45;(31)8889-1134;locarvan@gmail.com;locarvan@gmail.com; - ;12/11/2018 09:00:36;12/11/2020 09:00:36;02.441.265/0001-50;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
DRAGAO DO MAR TURISMO, EVENTOS E SERVICOS EIRELI;DRAGÃO DO MAR;02.487.307/0001-94;MICROEMPRESA;24/04/1998;Em Operação;Locadora de Veículos para Turistas;60115-125;CE;Fortaleza;Aldeota;Rua Ildefonso Albano, 1580;;(85)3099-0176;EDILENE@AGETURISMO.COM.BR;financeiro@ageturismo.com.br;www.ageturismo.com.br;17/04/2020 12:44:23;17/04/2022 12:44:23;02.487.307/0001-94;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Inglês;0;2020T01
PLANET VAN LOCADORA DE VEICULOS LTDA;PLANET VAN LOCADORA DE VEICULOS LTDA - EPP;02.528.700/0001-89;EMPRESA DE PEQUENO PORTE;21/05/1998;Em Operação;Locadora de Veículos para Turistas;02615-030;SP;São Paulo;Vila Amélia;Rua Wanda Martin, 179;66;(11)4102-2112;contato@planetvan.com.br;contato@planetvan.com.br;www.planetvan.com.br;08/03/2019 11:07:10;08/03/2021 11:07:10;02.528.700/0001-89;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
AUDIO VIDEO STUDIOMS LTDA;STUDIOMS;02.553.262/0001-09;MICROEMPRESA;02/06/1998;Em Operação;Locadora de Veículos para Turistas;60530-780;CE;Fortaleza;Conjunto Ceará I;343A , 123; - ;(85)3214-2312;studioms@uol.com.br;studioms@uol.com.br;www.studiomseventos.com.br;08/05/2018 08:25:30;08/05/2020 08:25:30;02.553.262/0001-09;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
VIP SERVICE CLUB LOCADORA E SERVICOS LTDA;VIP SERVICE CLUBE LOCADORA;02.605.452/0001-22;DEMAIS;01/07/1998;Em Operação;Locadora de Veículos para Turistas;70715-900;DF;Brasília;Asa Norte;SCN Quadra 5;Bloco A sala 417 Parte C Asa Norte ;(61)2106-6400;centraldelicitacao@voetur.com.br;centraldelicitacao@voetur.com.br; - ;07/02/2020 10:30:36;07/02/2022 10:30:36;02.605.452/0001-22;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
EXPRESSO INDUSTRIAL LTDA;expresso industrial ltda;02.607.242/0001-73;MICROEMPRESA;19/06/1998;Em Operação;Locadora de Veículos para Turistas;32260-470;MG;Contagem;Inconfidentes;Coronel Jove Soares Nogueira,830;- loja B;(31)3361-5382;EXPRESSOINDUSTRIAL@HOTMAIL.COM;expressoindustrial@hotmail.com;www.expressoindustrial.com.br;14/09/2018 11:13:05;14/09/2020 11:13:05;02.607.242/0001-73;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
VIAGENS VIEIRA LTDA;VIACAO ICAPUI;02.648.366/0001-05;MICROEMPRESA;21/07/1998;Em Operação;Locadora de Veículos para Turistas;62810-000;CE;Icapuí; - ;RUA CORONEL RICARDO HOLANDA, 28;IBICUITABA;(88)3432-4026;viacaoicapui@outlook.com;viacaoicapui@outlook.com; - ;22/11/2018 08:56:23;22/11/2020 08:56:23;02.648.366/0001-05;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
KATANIKA TUR TRANSPORTES LTDA;KATANIKATUR;02.736.016/0001-92;EMPRESA DE PEQUENO PORTE;14/09/1998;Em Operação;Locadora de Veículos para Turistas;44695-000;BA;Capim Grosso; - ;PRAÇA OTAVIANO FERREIRA, S/N ;;(74)3651-1220;ktur10@hotmail.com;ktur10@hotmail.com; - ;13/04/2020 21:28:33;13/04/2022 21:28:33;02.736.016/0001-92;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
CLERISTON SANTOS DE ANDRADE;CLERY ' TUR TRANSPORTE & TURISMO;02.747.738/0001-42;MICROEMPRESA;21/09/1998;Em Operação;Locadora de Veículos para Turistas;48180-000;BA;Entre Rios; - ;Rua Piaui ;Proximo a Oficina de Raposa ,centro ;(75)3420-4007;CLERYTURTRANSPORTES@HOTMAIL.COM;cleryturtransportes@hotmail.com;https://clerytur-transportes-turismo.negocio.site;12/06/2019 09:27:47;12/06/2021 09:27:47;02.747.738/0001-42;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Inglês;0;2020T01
ROBSON MARCUS GONCALVES DE MEDEIROS;TRANSTUR;02.761.095/0001-91;MICROEMPRESA;22/09/1998;Em Operação;Locadora de Veículos para Turistas;59655-000;RN;Areia Branca; - ;R LUIZ AGOSTINHO SOBRINHO, 20;;(84)3332-4522;chiquinhocontabilidade@hotmail.com.br;josehiltonoliveira@hotmail.com.br; - ;22/10/2018 11:04:50;22/10/2020 11:04:50;02.761.095/0001-91;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
TRANSLIFE LTDA;TRANSLIFE;02.825.262/0001-10;MICROEMPRESA;04/11/1998;Em Operação;Locadora de Veículos para Turistas;85015-360;PR;Guarapuava;Batel;Pedro Alves;- de 1284/1285 ao fim;(42)3622-6042;brasilconte@uol.com.br;brasilconte@uol.com.br; - ;09/11/2018 09:16:02;09/11/2020 09:16:02;02.825.262/0001-10;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ALDO HILTON DE MARCO COUTINHO - EIRELI;CINCOS;02.852.825/0001-60;MICROEMPRESA;22/10/1998;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;Rua Candido Luiz Braga;nº 100 - Vila Marambaia;(67)9998-4932;nvcoutinho@hotmail.com;nvcoutinho@hotmail.com; - ;12/11/2018 15:46:42;12/11/2020 15:46:42;02.852.825/0001-60;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
LOCATOUR LOCACOES, TRANSPORTES TURISMO LTDA;LOCATOUR;02.865.613/0001-17;MICROEMPRESA;23/11/1998;Em Operação;Locadora de Veículos para Turistas;29230-000;ES;Anchieta; - ;Sem Logradouro; - ;(28)9988-6799;esconaud@esconaud.com.br;esconaud@esconaud.com.br; - ;31/01/2020 10:32:31;31/01/2022 10:32:31;02.865.613/0001-17;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus|Utilitário; - ;5;2020T01
EDY GUINCHOS E LOCADORA DE VEICULOS LTDA;Edy Guinchos e Locadora de Veículos ;02.870.326/0001-03;MICROEMPRESA;23/10/1998;Em Operação;Locadora de Veículos para Turistas;63508-120;CE;Iguatu;Areias II;Carlos Roberto Costa;- lado par;(88)3581-3393;EDYGUINCHOSELOC@HOTMAIL.COM;EDYGUINCHOSELOC@HOTMAIL.COM; - ;14/02/2020 10:27:30;14/02/2022 10:27:30;02.870.326/0001-03;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
TOP MAIA TRANSPORTES LTDA;MAIA TRANSPORTES ESPECIAIS;02.906.997/0001-79;MICROEMPRESA;22/12/1998;Em Operação;Locadora de Veículos para Turistas;82220-000;PR;Curitiba;Barreirinha;Anita Garibaldi;- de 4211/4212 ao fim;(41)3354-9613;MAIA@MAIALOCACAODEVANS.COM.BR;maia@maialocacaodevans.com.br;www.maialocacaodevans.com.br;16/04/2019 13:17:02;16/04/2021 13:17:02;02.906.997/0001-79;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
A P BARBOZA;MAX'S;02.933.694/0001-45;MICROEMPRESA;18/01/1999;Em Operação;Locadora de Veículos para Turistas;79240-000;MS;Jardim; - ;Sem Logradouro; - ;(67)3251-2147;maxsveiculosjardim@hotmail.com;maxsveiculosjardim@hotmail.com;http://www.shopcar.com.br/loja.phploja820;04/10/2019 10:39:10;04/10/2021 10:39:10;02.933.694/0001-45;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
PEDRO ADELAR DE SOUZA & CIA LTDA.;TRANSPAS;02.943.778/0001-60;MICROEMPRESA;21/01/1999;Em Operação;Locadora de Veículos para Turistas;95780-000;RS;Montenegro; - ;Serra Velha, S/N. ;;(51)9996-9521;transpas8@gmail.com;transpas8@gmail.com; - ;12/11/2018 13:03:49;12/11/2020 13:03:49;02.943.778/0001-60;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
KAMI TRANSPORTES LTDA;kami transportes ltda me / KAMI;03.164.091/0001-99;MICROEMPRESA;03/05/1999;Em Operação;Locadora de Veículos para Turistas;27961-214;RJ;Macaé;Fronteira;Amaral Peixoto; - ;(22)2772-4741;kami@kamitransportes.com.br;kami@kamitransportes.com.br; - ;26/07/2019 14:56:31;26/07/2021 14:56:31;03.164.091/0001-99;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ROSEVAN LOCACAO DE VEICULOS LTDA.;ROSEVAN LOCAÇÃO DE VEÍCULOS LTDA - ME;03.164.468/0001-00;MICROEMPRESA;19/05/1999;Em Operação;Locadora de Veículos para Turistas;31130-390;MG;Belo Horizonte;Renascença;Milão;47;(31)3444-0162;cl.bh@terra.com.br;cl.bh@terra.com.br; - ;11/12/2018 08:24:02;11/12/2020 08:24:02;03.164.468/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
QUALITY FLUX AUTOMACAO E SISTEMAS LTDA;QFLUX AUTOMACAO E SISTEMAS;03.219.200/0001-28;MICROEMPRESA;16/06/1999;Em Operação;Locadora de Veículos para Turistas;80050-160;PR;Curitiba;Cristo Rei;Tv Madre Júlia;78;(41)3328-5901;QUALITYFLUX@QUALITYFLUX.COM.BR;contato@avventure4x4.com.br;www.avventure4x4.com.br;20/09/2019 09:12:18;20/09/2021 09:12:18;03.219.200/0001-28;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês|Italiano;0;2020T01
J H DE PAULA TRANSPORTE E TURISMO LTDA;ANDE TRANSPORTE;03.222.025/0003-90;DEMAIS;05/06/2017;Em Operação;Locadora de Veículos para Turistas;21730-245;RJ;Rio de Janeiro;Realengo;Curitiba;- de 613/614 ao fim;(21)2412-0991;financeiro@andetransporte.com.br;financeiro@andetransporte.com.br;www.jhdepaula.com.br;05/06/2018 10:43:59;05/06/2020 10:43:59;03.222.025/0003-90;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
S P DE MIRANDA & CIA LTDA;TRANSVAN;03.235.675/0001-08;MICROEMPRESA;28/05/1999;Em Operação;Locadora de Veículos para Turistas;36570-000;MG;Viçosa; - ;Rua João Franklin Fontes 165;Sala 01;(31)3891-2225;spdemiranda@gmail.com;spdemiranda@gmail.com; - ;09/04/2018 09:29:32;09/04/2020 09:29:32;03.235.675/0001-08;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
MICHELON TRANSPORTADORA TURISTICA LTDA;MICHELON;03.250.640/0001-48;MICROEMPRESA;28/06/1999;Em Operação;Locadora de Veículos para Turistas;72005-115;DF;Brasília;Setor Habitacional Vicente Pires;Rua 1 Chácara 3; - ;(61)3356-0404;denismichelong7@gmail.com;denismichelong7@gmail.com; - ;21/09/2018 11:47:47;21/09/2020 11:47:47;03.250.640/0001-48;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
AUTOMAX BRASIL LOCADORA DE VEICULOS E TURISMO LTDA;AUTO MAX LOCADORA DE VEICULOS E TURISMO;03.272.451/0001-76;MICROEMPRESA;07/07/1999;Em Operação;Locadora de Veículos para Turistas;55590-000;PE;Ipojuca; - ;rua Francisco Alves de Souza, sn;;(81)9887-2914;edvaldo2009@live.com;edvaldo2009@live.com; - ;13/12/2018 11:45:15;13/12/2020 11:45:15;03.272.451/0001-76;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
PANDORA LOCACOES TRANSPORTES E TURISMO LTDA;PANDORA TRANSPORTES;03.319.453/0001-73;MICROEMPRESA;02/08/1999;Em Operação;Locadora de Veículos para Turistas;09170-280;SP;Santo André;Vila João Ramalho;Bartolomeu Dias; - ;(11)4973-1172;pandora@pandoratransportes.com;pandora@pandoratransportes.com;www.pandoratransportes.com;13/11/2018 11:37:33;13/11/2020 11:37:33;03.319.453/0001-73;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
ARAUJO & BONFIM LTDA;LOCAVEL LOCADORA DE VEICULOS;03.367.215/0001-33;MICROEMPRESA;16/08/1999;Em Operação;Locadora de Veículos para Turistas;79750-000;MS;Nova Andradina;Ferroviários;Av. Eurico Soares de Andrade;nº 570 - Centro ;(67)3441-2899;locavel@gmail.com;locavel@gmail.com; - ;04/04/2019 14:58:29;04/04/2021 14:58:29;03.367.215/0001-33;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
MAPE TRANSPORTES LTDA;MAPE TRANSPORTES LTDA;03.431.716/0001-31;DEMAIS;01/10/1999;Em Operação;Locadora de Veículos para Turistas;60824-220;CE;Fortaleza;Parque Iracema;Newton Craveiro;107;(85)3474-5511;contato@gertaxi.com.br;contato@gertaxi.com.br;www.vadegertaxi.com.br;08/05/2018 16:21:38;08/05/2020 16:21:38;03.431.716/0001-31;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
LOCAVE- LOCADORA DE VEICULOS LTDA;LOCAVE;03.447.439/0001-55;MICROEMPRESA;13/10/1999;Em Operação;Locadora de Veículos para Turistas;58045-000;PB;João Pessoa;Cabo Branco;Presidente Epitácio Pessoa; - ;(83)3247-2627;locave.ltda@hotmail.com;locave.ltda@hotmail.com; - ;08/08/2018 09:29:54;08/08/2020 09:29:54;03.447.439/0001-55;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Automóvel; - ;1;2020T01
STL TRANSPORTES E LOCACAO EIRELI;Searlini - STL;03.480.048/0001-32;MICROEMPRESA;22/10/1999;Em Operação;Locadora de Veículos para Turistas;13310-285;SP;Itu;Vila São José;Ângelo Pedroti; - ;(11)9746-8947;prcesarsearlini@gmail.com;prcesarsearlini@gmail.com; - ;04/01/2019 11:47:14;04/01/2021 11:47:14;03.480.048/0001-32;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
LOACRE- LOCADORA COMERCIO E REPRESENTACAO- EIRELI;LOACRE;03.520.514/0001-66;EMPRESA DE PEQUENO PORTE;16/11/1999;Em Operação;Locadora de Veículos para Turistas;69900-232;AC;Epitaciolândia;Ivete Vargas;Boa Vista; - ;(68)9811-3141;loacre2016@gmail.com;loacre2016@gmail.com; - ;25/11/2019 11:29:23;25/11/2021 11:29:23;03.520.514/0001-66;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
VIACAO SOUZA LIMA TRANSPORTES E TURISMO LTDA;VIACAO DO VALE TRANSPORTES E TURISMO;03.524.516/0001-23;MICROEMPRESA;20/10/1999;Em Operação;Locadora de Veículos para Turistas;12412-010;SP;Pindamonhangaba;Jardim Cristina;Doutor Antônio Pinheiro Júnior 1630; - ;(12)3642-2222;vsltransporte@gmail.com;vsltransporte@gmail.com; - ;26/04/2018 13:40:33;26/04/2020 13:40:33;03.524.516/0001-23;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
CHAVES & DAMASCENO LTDA;GUINCHO CHAVES;03.539.790/0001-76;MICROEMPRESA;03/12/1999;Em Operação;Locadora de Veículos para Turistas;47650-000;BA;Correntina; - ;Av. Tancredo Neves - Novo Horizonte;Guinchos Chaves;(77)3488-2480;GUINCHOS.CHAVES@HOTMAIL.COM;GUINCHOS.CHAVES@HOTMAIL.COM; - ;27/06/2019 11:31:21;27/06/2021 11:31:21;03.539.790/0001-76;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
LOCALYNE TRANSPORTE TURISMO LTDA;LOCTUR;03.551.401/0001-28;DEMAIS;10/12/1999;Em Operação;Locadora de Veículos para Turistas;49065-000;SE;Aracaju;Industrial;João Ribeiro;1070;(79)3215-3381;localine-turismo@hotmail.com;localine-turismo@hotmail.com; - ;11/08/2019 09:00:23;11/08/2021 09:00:23;03.551.401/0001-28;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
W. A. FERREIRA EIRELI;ALVESTUR TURISMO;03.563.375/0001-58;EMPRESA DE PEQUENO PORTE;20/12/1999;Em Operação;Locadora de Veículos para Turistas;74955-470;GO;Aparecida de Goiânia;Vila Oliveira;Titanita; - ;(62)3548-5300;alves_tur@hotmail.com;alves_tur@hotmail.com; - ;19/03/2019 15:03:13;19/03/2021 15:03:13;03.563.375/0001-58;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
EVIDENCE RENT A CAR LOCADORA DE VEICULOS LTDA;EVIDENCE RENT A CAR;03.569.705/0001-12;EMPRESA DE PEQUENO PORTE;09/12/1999;Em Operação;Locadora de Veículos para Turistas;45810-000;BA;Porto Seguro; - ;ESTRADA DO AEROPORTO Nº 1128; - ;(73)3288-8900;hertz@grupohills.com.br;hertz@grupohills.com.br; - ;14/05/2019 14:38:04;14/05/2021 14:38:04;03.569.705/0001-12;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol;0;2020T01
VIP EXPRESS LOCACOES E TRANSPORTES RODOVIARIOS LTDA;VIP;03.571.820/0001-21;EMPRESA DE PEQUENO PORTE;06/12/1999;Em Operação;Locadora de Veículos para Turistas;13150-015;SP;Cosmópolis;Centro;Antonio Carlos Nogueira; - ;(19)3812-2201;vip.express@hotmail.com;vip.express@hotmail.com; - ;14/09/2018 15:21:52;14/09/2020 15:21:52;03.571.820/0001-21;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
WMR LOCADORA DE VEICULOS LTDA;WMR LOCADORA;03.574.409/0001-00;MICROEMPRESA;07/12/1999;Em Operação;Locadora de Veículos para Turistas;58036-450;PB;João Pessoa;Aeroclube;Francisco Leocádio Ribeiro Coutinho; - ;(83)3247-2560;gerenteyespb@gmail.com;gerenteyespb@gmail.com; - ;03/03/2020 15:28:54;03/03/2022 15:28:54;03.574.409/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
DEPAULA EXECUTIVO SERVICOS GERAIS EIRELI;DEPAULAEXECUTIVE SERVICE;03.601.549/0001-20;MICROEMPRESA;03/08/1987;Em Operação;Locadora de Veículos para Turistas;72110-025;DF;Brasília;Taguatinga Norte (Taguatinga);CNA 2; - ;(61)3397-5206;dpaulaexecutivo@gmail.com;dpaulaexecutivo@gmail.com;www.capitalvans.com.br;18/11/2019 11:00:32;18/11/2021 11:00:32;03.601.549/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Terrestre; - ;Automóvel;Espanhol|Inglês;2;2020T01
COLMEIA EXPRESSO TRANSPORTES E LOCADORA DE VEICULOS LTDA;colmeia expresso transportes e locadora de veiculos ltda;03.646.522/0001-53;MICROEMPRESA;15/02/2000;Em Operação;Locadora de Veículos para Turistas;03918-000;SP;São Paulo;Vila Bancária;General Porfírio da Paz; - ;(11)2702-1836;contato@colmeiaexpresso.com.br;contato@colmeiaexpresso.com.br;www.colmeiaexpresso.com.br;23/08/2018 13:28:13;23/08/2020 13:28:13;03.646.522/0001-53;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
IRINEU LOCADORA & TRANSPORTE LTDA;IRINEU LOCADORA;03.663.542/0001-32;MICROEMPRESA;23/02/2000;Em Operação;Locadora de Veículos para Turistas;35900-532;MG;Itabira;Centro;Esmeralda; - ;(31)3831-1783;irineulocadora@yahoo.com.br;irineulocadora@yahoo.com.br; - ;26/06/2019 11:40:10;26/06/2021 11:40:10;03.663.542/0001-32;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
LEIZA A. G. MACHADO;QUAD NATUREZA TOUR;03.673.718/0001-37;EMPRESA DE PEQUENO PORTE;01/03/2000;Em Operação;Locadora de Veículos para Turistas;59580-000;RN;Maxaranguape; - ;Rua Projetada S/N;;(84)9990-1963;quadnatureza@outlook.com;quadnatureza@outlook.com; - ;18/02/2019 11:06:37;18/02/2021 11:06:37;03.673.718/0001-37;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
RUBINEXX TRANSPORTES, SERVICOS E LOCACAO DE VEICULOS EIRELI; Rubinexx Transportes ;03.715.223/0001-23;MICROEMPRESA;27/03/2000;Em Operação;Locadora de Veículos para Turistas;05590-150;SP;São Paulo;Vila Gomes;Jonas Herculano Aquino; - ;(11)3637-4376;contato@rubinexx.com;contato@rubinexx.com; - ;15/05/2019 13:41:07;15/05/2021 13:41:07;03.715.223/0001-23;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
